Garéida Sot;766c;Mesocco
Gumégna;770a;Mesocco
Cebbia;757b;Mesocco
Cebbia;772b;Mesocco
strada del Pian;56;Mesocco
Sei;722a;Mesocco
Salvanei;718;Mesocco
Pian San Giacomo;656g;Mesocco
Pundelón;752b;Mesocco
Leso;264a;Mesocco
a la Bróna de Darba;3.1;Mesocco
strada de Lusgián;10;Mesocco
Crimeo;620;Mesocco
strada de la Stalàn;14;Mesocco
San Rocco;333a;Mesocco
strada de Darba;16;Mesocco
strada de Arbedás;7;Mesocco
strada de Gèi;3;Mesocco
Còzz de dént;3;Mesocco
strada de la Stazión;5;Mesocco
strada de Darba;13;Mesocco
Cebbia;743;Mesocco
Sulíva;878;Mesocco
Sulíva;878-a;Mesocco
strada de la Stalàn;11a;Mesocco
strada de Ghifa;1;Mesocco
Gumégna;738a;Mesocco
Viganaia;641;Mesocco
Danc;11;Mesocco
Logiano;701a;Mesocco
Stabi;701;Mesocco
strada de Ghifa;12;Mesocco
Logiano;395b;Mesocco
strada de Benábia;11;Mesocco
strada d'Anzón;7;Mesocco
Logiano;5000;Mesocco
Nan Sora;937;Mesocco
Pignèla Sot;671;Mesocco
Gumégna;738j;Mesocco
Gumégn;619h;Mesocco
Gei;861;Mesocco
strada de Déira;3;Mesocco
strada de Ghifa;46;Mesocco
Anzon;752;Mesocco
Crimeo;620a;Mesocco
Scimavila;30;Mesocco
Anzon;938;Mesocco
Anzon;938a;Mesocco
Crimeo;934;Mesocco
Purtulina;;Mesocco
strada de Arbedás;16;Mesocco
strada de Darba;15;Mesocco
strada de Cumpréid;5;Mesocco
Andergia;494a;Mesocco
Logiano;406a;Mesocco
Darba;435;Mesocco
strada de Darba;9;Mesocco
a la Bróna de Darba;7;Mesocco
strada de Ghifa;41;Mesocco
strada de Cumpréid;8;Mesocco
Anzon;344;Mesocco
a la Bróna de Darba;12.1;Mesocco
Fondvila;13;Mesocco
Scimavila;1;Mesocco
Andergia;884;Mesocco
Leso;284a;Mesocco
Leso;286a;Mesocco
Andergia;511a;Mesocco
Pradiròn;914;Mesocco
Darba;408a;Mesocco
strada d'Andèrgi;61;Mesocco
Logiano;700;Mesocco
Benabbia;617;Mesocco
Crimeo;146;Mesocco
strada de Darba rodónda;9;Mesocco
strada d'Andèrgi;13;Mesocco
Crimeo;121a;Mesocco
Crimeo;154a;Mesocco
Leso;729k;Mesocco
strada de Russéira;8;Mesocco
strada de Darba rodónda;10;Mesocco
Pian San Giacomo;633;Mesocco
Pian San Giacomo;676n;Mesocco
Monda;898c;Mesocco
Monda;776p;Mesocco
Cebbia;579;Mesocco
Cebbia;559;Mesocco
Benabbia;65fa;Mesocco
Benabbia;79c;Mesocco
