Kanalweg;15;Trubschachen;3555
Obere Wegmattestrasse;1;Trubschachen;3555
Dorfstrasse;2;Trubschachen;3555
Hauptstrasse;;Trubschachen;3555
Hauptstrasse;;Trubschachen;3555
Dorfstrasse;49;Trubschachen;3555
Bahnhofstrasse;23;Trubschachen;3555
Bahnhofstrasse;21;Trubschachen;3555
Untere Wegmattestrasse;9;Trubschachen;3555
Untere Wegmattestrasse;11;Trubschachen;3555
Hintere Hellweid;302;Trubschachen;3555
Kanalweg;3;Trubschachen;3555
Kanalweg;1;Trubschachen;3555
Kanalweg;27;Trubschachen;3555
Himmelhausmatte;4;Trubschachen;3555
Bahnhofstrasse;21;Trubschachen;3555
Bahnhofstrasse;23;Trubschachen;3555
Wegstöcklistrasse;13;Trubschachen;3555
Wegstöcklistrasse;15;Trubschachen;3555
Wegstöcklistrasse;17;Trubschachen;3555
Wegstöcklistrasse;19;Trubschachen;3555
Mittler Buhus;437f;Trubschachen;3555
Himmelhausmatte;1;Trubschachen;3555
Himmelhausmatte;2;Trubschachen;3555
Wegstöcklistrasse;9;Trubschachen;3555
Himmelhausmatte;3a;Trubschachen;3555
Himmelhausmatte;3b;Trubschachen;3555
Mühlestatt;388c;Trubschachen;3555
Ober Sattel;2;Trubschachen;3555
Windbruch;;Trubschachen;3555
Rischgrat;;Trubschachen;3555
Beysegg;;Trubschachen;3555
Ober Sattel;1;Trubschachen;3555
