Vordere Stalden;592;Schwarzsee
Alt Rufenenweg;17;Plaffeien
Alt Rufenenweg;21;Plaffeien
Alt Rufenenweg;23;Plaffeien
Rufenen;1;Plaffeien
Rufenen;6;Plaffeien
Rufenen;3;Plaffeien
Rufenen;8;Plaffeien
Rufenen;21;Plaffeien
Rufenen;10;Plaffeien
Rufenen;25;Plaffeien
Rufenen;14;Plaffeien
Rufenen;27;Plaffeien
Rufenen;16;Plaffeien
Rufenen;29;Plaffeien
Rufenen;18;Plaffeien
Rufenen;20;Plaffeien
Rainweg;2;Plaffeien
Gumliweg;3;Plaffeien
Gumliweg;4;Plaffeien
Rainweg;7;Plaffeien
Rainweg;1;Plaffeien
Rainweg;3;Plaffeien
Rainweg;5;Plaffeien
Kloster;8;Plaffeien
Kloster;3;Plaffeien
Kloster;9;Plaffeien
Rufenen;35;Plaffeien
Kloster;10;Plaffeien
Kloster;5;Plaffeien
Kloster;6;Plaffeien
Guuhet;20;Plaffeien
Guuhetli;30;Plaffeien
Bexenried;1;Plaffeien
Bexenried;2;Plaffeien
Kloster;2;Plaffeien
Rainweg;17;Plaffeien
Zollhaus;11;Schwarzsee
Zollhaus;12;Schwarzsee
Zollhaus;5;Schwarzsee
Zollhaus;19;Schwarzsee
Zollhaus;21;Schwarzsee
Zollhaus;51;Schwarzsee
Zollhaus;49;Schwarzsee
Zollhaus;45;Schwarzsee
Zollhaus;52;Schwarzsee
Guetemashus;106;Schwarzsee
Underi Schafera;2;Schwarzsee
Buntschena;513;Schwarzsee
Buntschena;135;Schwarzsee
Buntschena;720;Schwarzsee
Wilerbädli;129;Schwarzsee
Ober Erlenbruch;132;Schwarzsee
Underi Eltschingera;125;Schwarzsee
Geissalpsteg;60;Schwarzsee
Tromooserli;50;Schwarzsee
Vorder Tromooserli;3;Schwarzsee
Tromooserli;29;Schwarzsee
Tromooserli;47;Schwarzsee
Tromooserli;40;Schwarzsee
Schwarzseestrasse;61;Schwarzsee
Schwarzseestrasse;65;Schwarzsee
Schwarzseestrasse;69;Schwarzsee
Ganterschli;105;Schwarzsee
Mösli;53;Schwarzsee
Mösli;142;Schwarzsee
Mösli;147;Schwarzsee
Mösli;55;Schwarzsee
Mösli;80;Schwarzsee
Mösli;99;Schwarzsee
Röhrli;4;Schwarzsee
Rohr;10;Schwarzsee
Schwarzseestrasse;109;Schwarzsee
Chromenstrasse;1;Plaffeien
Röhrli;20;Schwarzsee
Schwarzseestrasse;111;Schwarzsee
Röhrli;2;Schwarzsee
Gerendacherli;15;Schwarzsee
Gerendacherli;10;Schwarzsee
Gerendacherli;23;Schwarzsee
Gerendacherli;9;Schwarzsee
Gerendacherli;11;Schwarzsee
Schwarzseestrasse;137;Schwarzsee
Schwarzseestrasse;135;Schwarzsee
Schwarzseestrasse;123;Schwarzsee
Schwarzseestrasse;143;Schwarzsee
Schwarzseestrasse;121;Schwarzsee
Ludena;209;Schwarzsee
Gerendacherli;84;Schwarzsee
Mösli;151;Schwarzsee
Gerendacherli;78;Schwarzsee
Gerendacherli;63;Schwarzsee
Gerendacherli;82;Schwarzsee
Gerendacherli;86;Schwarzsee
Gerendacherli;85;Schwarzsee
Gerendacherli;75;Schwarzsee
Gerendacherli;73;Schwarzsee
Gerendacherli;71;Schwarzsee
