Mad;30a;Leissigen;3706
Dorfstrasse;40;Leissigen;3706
Zihl-Zälgweg;26;Leissigen;3706
Im Gässli;1;Leissigen;3706
Spissiweg;5;Leissigen;3706
Spissiweg;11;Leissigen;3706
Spissiweg;1;Leissigen;3706
Spissiweg;3;Leissigen;3706
Trübenbachweg;36;Leissigen;3706
Oberdorfweg;18;Leissigen;3706
Spissiweg;7;Leissigen;3706
Trübenbachweg;10;Leissigen;3706
Oberfeldweg;29;Leissigen;3706
Spissiweg;11a;Leissigen;3706
Horbacherweg;10b;Leissigen;3706
Oberdorfweg;20;Leissigen;3706
Spissiweg;11b;Leissigen;3706
Dorfstrasse;37a;Leissigen;3706
Weichelweg;8;Leissigen;3706
Ischlagweg;8;Leissigen;3706
Ischlagweg;4;Leissigen;3706
Läntiweg;35a;Leissigen;3706
Ischlagweg;10;Leissigen;3706
Weichelweg;3;Leissigen;3706
Krattigstrasse;22;Leissigen;3706
Gubiweg;9;Leissigen;3706
Bühlweg;4;Leissigen;3706
Guetliweg;12;Leissigen;3706
Dorfstrasse;47;Leissigen;3706
Dorfstrasse;47a-59a;Leissigen;3706
Weichelweg;17;Leissigen;3706
Neuer Weg;5;Leissigen;3706
Ischlagweg;12;Leissigen;3706
Spissiweg;;Leissigen;3706
Ischlagweg;6;Leissigen;3706
Neuer Weg;23;Leissigen;3706
Spissiweg;26;Leissigen;3706
Mettlenweg;8;Leissigen;3706
Spissiweg;28;Leissigen;3706
Seebacher;56;Leissigen;3706
Dorfstrasse;32;Leissigen;3706
Guetliweg;5;Leissigen;3706
Hauptstrasse;81f;Leissigen;3706
Hauptstrasse;81g;Leissigen;3706
Hauptstrasse;81;Leissigen;3706
Hauptstrasse;81a;Leissigen;3706
Hauptstrasse;81h;Leissigen;3706
Hauptstrasse;81i;Leissigen;3706
Hauptstrasse;81b;Leissigen;3706
Hauptstrasse;81c;Leissigen;3706
Hauptstrasse;81k;Leissigen;3706
Hauptstrasse;81l;Leissigen;3706
Hauptstrasse;81d;Leissigen;3706
Hauptstrasse;81e;Leissigen;3706
Krattigstrasse;23a;Leissigen;3706
Ischlagweg;12a;Leissigen;3706
Baumgartenweg;27;Leissigen;3706
Baachli;518;Leissigen;3706
Vorders Ramsi;519;Leissigen;3706
Äbnitweid;439;Leissigen;3706
Alpweg;426;Leissigen;3706
Untere Ey;7;Leissigen;3706
Herbrig;309;Leissigen;3706
Gibel;493a;Leissigen;3706
Fulwasser;504;Leissigen;3706
Egelholz;506;Leissigen;3706
Brunni;517;Leissigen;3706
Froumültscha;510;Leissigen;3706
Leissigbärgli;513;Leissigen;3706
Stutz;444;Leissigen;3706
Moos;499;Leissigen;3706
Buechwald;397;Leissigen;3706
Unders Hore;500;Leissigen;3706
Syti;497;Leissigen;3706
Stoffelberg;405;Leissigen;3706
Spicherallmi;495;Leissigen;3706
Ried;479;Leissigen;3706
Ried;471;Leissigen;3706
Ried;467;Leissigen;3706
Neueried;452;Leissigen;3706
Mad;30b;Leissigen;3706
Lammweid;482;Leissigen;3706
Unders Hore;501;Leissigen;3706
Unders Hore;503;Leissigen;3706
Äbnitweid;441;Leissigen;3706
Froumültscha;447;Leissigen;3706
Gubiweg;11;Leissigen;3706
Chrüzweg;4;Leissigen;3706
Baumgartenweg;25;Leissigen;3706
Herbrig;297;Leissigen;3706
Untere Ey;1a;Leissigen;3706
Mettlenweg;8;Leissigen;3706
Läntiweg;27;Leissigen;3706
Krattigstrasse;7;Leissigen;3706
Bürgliweg;2;Leissigen;3706
Bürgliweg;4;Leissigen;3706
Baumgartenweg;9;Leissigen;3706
Gubiweg;8;Leissigen;3706
Gubiweg;10;Leissigen;3706
Bühlweg;34;Leissigen;3706
Seebacher;56b;Leissigen;3706
Hauptstrasse;55;Leissigen;3706
Baumgartenweg;9a;Leissigen;3706
Baumgartenweg;9b;Leissigen;3706
Blumenstrasse;3;Leissigen;3706
Bühlweg;32;Leissigen;3706
Dorfstrasse;14;Leissigen;3706
Dorfstrasse;16;Leissigen;3706
Dorfstrasse;8;Leissigen;3706
